id,media_type,url,version_id
6023d2ad-7cf1-4b76-97b4-a22dcda3703b,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1058h&txtFormat=amend,cb31463f-e361-41c4-b985-a58ba25f6af3
258fe4f6-c58d-4783-b374-c5515aefd4b1,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0873h&txtFormat=amend,01febcb9-06b5-4ece-8bf9-58738585e703
a7d1aa9b-3043-4074-be6f-3b68001c3faf,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-0854s&txtFormat=amend,27fd7572-c40d-4955-ae6d-d32ee4b5fd48
09ae3e10-ede1-4436-bf38-b0bfbb421c00,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1086h&txtFormat=amend,ce82905f-2b0e-4879-b4c8-3c555ce7ce94
5da7a852-f409-4d33-99f3-3ae60381975a,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2829h&txtFormat=amend,d7d6d0e9-5f39-498e-b1f8-498c0d2c0d42
72b7c9a6-404d-4372-84a4-dd02ea11f679,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0455h&txtFormat=amend,e1c3d581-82c6-4504-8746-7fc32c235a16
6bc4364a-38e8-4216-b359-a742390a10ec,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1615e&txtFormat=amend,939247cb-787a-4fe6-a479-52e9f42fbe4e
9830b12b-69cf-4c5f-bbfa-7eba193d7666,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0898h&txtFormat=amend,c9a8e6dc-85e5-417b-8fed-61535c4d041e
864d86e4-51be-4819-8a80-4c218106e810,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0978h&txtFormat=amend,43fc46e9-cf5d-412c-ba57-bfbfcb62066b
e60889c3-7f53-4995-9fd4-a29202eb0154,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0995h&txtFormat=amend,b42ee766-ad68-4d73-b351-95138ec47c50
356f8039-aa71-4a09-a670-91c77ffcd568,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=445&txtFormat=html,5076ef8a-0317-42ad-8860-f6457172a801
