id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/c1eadac8-c4dc-4e5c-af95-4e25e3497d69,HB 1593,making an appropriation to the department of health and human services to support recreational activities for individuals with developmental disabilities and relative to the uncompensated care and Medicaid fund.,['bill'],[],2024,New Hampshire,lower
ocd-bill/7b86dc49-4b2a-4bd4-86f8-82938da090ec,HB 1596,requiring a disclosure of deceptive artificial intelligence usage in political advertising.,['bill'],[],2024,New Hampshire,lower
ocd-bill/3290538a-c534-4e69-9245-90a2fd725379,HB 1307,providing a supplemental appropriation for members of the retirement system receiving an accidental disability retirement allowance.,['bill'],[],2024,New Hampshire,lower
ocd-bill/9a97bee2-f45f-4fa9-a80b-f44761f85f3a,HB 1178,relative to an employee's unused earned time.,['bill'],[],2024,New Hampshire,lower
ocd-bill/500dff4e-44b4-49b7-be86-117619d5c135,HB 1639,relative to children with disabilities placed at state facilities for detained or adjudicated youth.,['bill'],[],2024,New Hampshire,lower
ocd-bill/4d20a3ed-17ef-4cf1-9e04-352b6eac604a,HB 1395,relative to home heating oil and propane contracts.,['bill'],[],2024,New Hampshire,lower
ocd-bill/ee3bf286-afda-4ab1-8b14-a4aaee2888b9,HB 242,relative to banning PFAS in food packaging.,['bill'],[],2024,New Hampshire,lower
ocd-bill/e5d9fb27-709a-4000-b52c-5d442c8d84e6,HB 1621,requiring the liquor commission to distribute certain information in liquor stores.,['bill'],[],2024,New Hampshire,lower
ocd-bill/3fdeb3d9-99a6-43ac-8d8e-cc9baafe3dc9,HB 1152,enabling the mental health flag to be flown at the state house.,['bill'],[],2024,New Hampshire,lower
ocd-bill/174e4f4b-10de-46e5-9591-eb0259b5ed1c,HB 1183,relative to prohibiting the sale of agricultural land and land essential to critical industries to China.,['bill'],[],2024,New Hampshire,lower
ocd-bill/de1825df-2a9e-4fe6-9fd5-4bdf0f3bae8c,HB 1566,relative to the review of police investigations.,['bill'],[],2024,New Hampshire,lower
ocd-bill/d658b32b-8df8-4582-966f-9f6c11b5cba8,SB 407,establishing a ground ambulance cost reporting program and a study by an independent actuarial and accounting expert of the cost of providing ground ambulance services in the state.,['bill'],[],2024,New Hampshire,upper
ocd-bill/45552250-aba4-4f26-8b5e-13ce8d80e287,HB 1645,establishing a condominium dispute resolution board.,['bill'],[],2024,New Hampshire,lower
ocd-bill/14c56a98-2a4d-425e-af19-cba9cd55de66,CACR 18,relating to the tax exempt status of churches. Providing that churches shall not be exempt from state taxes.,['constitutional amendment'],[],2024,New Hampshire,lower
ocd-bill/e806b0ba-21c9-4b2e-8d21-674230e6c687,HB 1576,relative to allowing property owners to opt out of public utilities.,['bill'],[],2024,New Hampshire,lower
ocd-bill/752007db-9c3d-4df5-be64-e1a01c6aeb6f,HB 1016,relative to the New Hampshire state flag.,['bill'],[],2024,New Hampshire,lower
ocd-bill/ba6232a9-fdb6-4a67-bb6b-75af24903bbc,HCR 8,applying to congress for a limited national convention for the exclusive purpose of proposing an amendment to the United States Constitution relative to elections.,['concurrent resolution'],[],2024,New Hampshire,lower
ocd-bill/ba267e94-0869-4671-a72c-ffdf5a5a5132,HB 1604,relative to the use of electronic medical records.,['bill'],[],2024,New Hampshire,lower
ocd-bill/690d879a-9636-49ab-b305-3cd3d05d3639,HB 1188,relative to qualifications for licensed nursing assistants.,['bill'],[],2024,New Hampshire,lower
ocd-bill/7b524016-a006-46aa-9700-72fd94ac26d8,HB 1274,relative to judicial administration.,['bill'],[],2024,New Hampshire,lower
ocd-bill/72b00a1f-fcba-4834-bb64-cc88acb0e522,HB 1272,relative to occupational license reciprocity.,['bill'],[],2024,New Hampshire,lower
