id,vote_event_id,option,voter_name,voter_id,note
5c6fed17-230e-4200-822a-1393815a1c46,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Debra Altschiller,ocd-person/925608b2-8d23-4186-85f6-4c50f334374d,
7376d433-73f3-48b0-b513-97ca2d43d039,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Dan McGuire,ocd-person/f67d5fcc-0dac-4bf0-b1ab-b63f73162d0b,
48cb86ac-fdd1-4c84-9231-2347cd6031bf,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Jeanine M. Notter,ocd-person/84f79859-fef0-441d-80bb-5edeafc70e78,
66b39672-73f1-4154-b4d7-c55ae8877983,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Joseph A. Pitre,ocd-person/5ce55936-fd73-4b3c-ba16-70e13734a3c8,
465b2749-9222-46ae-bd2a-3d2ccaed71a7,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Mark L. Proulx,ocd-person/b50abef6-0b19-4d5c-97c9-f757f3b571ad,
ca358ed4-4e1f-4102-bc59-5bcdb1bfc380,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Laurie J. Sanborn,ocd-person/d0d7f906-c48f-4a61-943c-1faf0162b329,
f0479cd6-8645-40b0-adb0-e5f7b53c5339,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Brian Seaworth,ocd-person/b12abcbf-fbbe-4464-854e-6960b024e62a,
1f53af9f-dbf4-4b3d-8a4a-4cc16a45f5d6,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,Steven D. Smith,ocd-person/129a2970-07b9-4136-aae1-15c689edca40,
cae8db11-77ab-469d-99aa-8024249c4b77,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Bruce L. Tatro,ocd-person/159d4b0d-ce1f-4605-bed7-9d9f98d95336,
334a7388-a22a-4370-be3f-538e16d28ac5,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Richard Ames,ocd-person/47c165c7-ecd9-4b88-b9f7-2e58e8e290d4,
282dc4d4-9dd7-4c6d-9a2d-48e3a6e53733,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Peter W. Bixby,ocd-person/2c42e95c-0192-4910-9fc6-8a43b58c6467,
08a23fe1-94ea-4ab7-9c2f-bd13a2b5ad4a,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Efstathia C. Booras,ocd-person/3ffd7496-524f-40b6-92d8-0e932f002a90,
d5788b00-8ea5-4246-9d75-14b4aa0fb5cb,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Michael D. Cahill,ocd-person/facb5409-244f-4381-8452-e6a1078bb1c5,
3e9b5ae3-dc94-4f42-93bb-6df93ce80bb8,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Lorrie J. Carey,ocd-person/c1f83f4d-e410-4642-b973-0ec4cd924ab4,
100218f7-e7b4-4c76-92f0-51d64b2964a9,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Glenn Cordelli,ocd-person/c8aa2951-dea0-4999-9b6a-6323d9917e0b,
4f319b9b-fe6f-406a-a210-b98016329c4f,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Karel A. Crawford,ocd-person/a0936f2f-8170-47f9-8b05-6c6697a95968,
047090b0-836e-48b2-a3f5-9be1a93103de,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Linda A. DiSilvestro,ocd-person/a9f75dde-f348-4c7a-90c9-a785ee2de208,
